question,answer,source
What is the benefit of linking a deployment track to a GitHub repository branch for handling deployments?,Linking a deployment track to a GitHub repository branch is useful for handling deployments to various environments.,docs\choreo-concepts\deployment-tracks.md/CI/CD with Deployment Tracks
Where can users easily visualize the deployments to specific environments associated with their selected deployment track in Choreo?,"On Choreo's Deploy page, users can easily visualize the deployments to specific environments associated with their selected deployment track.",docs\choreo-concepts\deployment-tracks.md/CI/CD with Deployment Tracks
What functionality does a deployment track have regarding automatic deployments for the linked branch?,A deployment track has a functionality that initiates automatic deployments for the linked branch.,docs\choreo-concepts\deployment-tracks.md/CI/CD with Deployment Tracks
What action triggers a deployment to the development environment when automatic deployments are activated for a linked branch?,"When automatic deployments are activated for a linked branch, merging a pull request (PR) triggers a deployment to the development environment.",docs\choreo-concepts\deployment-tracks.md/CI/CD with Deployment Tracks
Under what circumstances would a user choose the CD-Only strategy with Deployment Tracks in Choreo?,A user would choose the CD-Only strategy with Deployment Tracks if they are inclined to use their own Continuous Integration (CI) systems and want to harness the deployment track solely as a Continuous Deployment (CD) pipeline.,docs\choreo-concepts\deployment-tracks.md/CD-Only strategy with Deployment Tracks
How can a deployment track be linked when utilizing the CD-Only strategy?,"When utilizing the CD-Only strategy, a deployment track can be seamlessly linked to a container registry repository.",docs\choreo-concepts\deployment-tracks.md/CD-Only strategy with Deployment Tracks
What capability does linking a deployment track to a container registry repository provide to users in the CD-Only strategy?,Linking a deployment track to a container registry repository in the CD-Only strategy empowers users to effortlessly deploy images sourced directly from the linked container registry repository.,docs\choreo-concepts\deployment-tracks.md/CD-Only strategy with Deployment Tracks
To which specific type of components does the efficient API versioning section apply in Choreo?,The efficient API versioning section applies only to service components in Choreo.,docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"What versioning mechanism does Choreo follow for APIs, and what specific parts of it are included?","Choreo follows a versioning mechanism based on Semantic Versioning (SemVer), but it only includes the major version and minor version with the prefix `v`.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
Provide an example of how an API version would look in Choreo based on its versioning mechanism.,An example of how an API version would look in Choreo is `v1.2`.,docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"According to Choreo's approach, when should the major version of an API be incremented?","According to Choreo's approach, the major version of an API should be incremented when incompatible API changes are made.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"According to Choreo's approach, when should the minor version of an API be incremented?","According to Choreo's approach, the minor version of an API should be incremented when functionality is added in a backward-compatible manner.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
What is Semantic Versioning (SemVer) as described in the documentation?,"Semantic Versioning (SemVer) is a specification that defines how to assign and increment version numbers for software products, including APIs.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
What is one of the primary concerns when dealing with SaaS APIs regarding updates and consumer disruption?,One of the primary concerns when dealing with SaaS APIs is to minimize disruption for API consumers while continuously developing and deploying updates.,docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
How are changes that do not introduce breaking or additive modifications to an API categorized in compliance with SemVer?,"In compliance with SemVer, changes that don't introduce breaking or additive modifications to the API are categorized as patch updates.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"From the perspective of API consumers, how should patch updates ideally affect their API clients?","From the perspective of API consumers, patch updates should ideally not disrupt their API clients.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"What API version alterations are API consumers typically most concerned with, and when might minor version changes be communicated to them?","API consumers are typically most concerned with major API version alterations, but there might be instances where minor version changes are communicated to them.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"In the context of deployment tracks, what specific API version information do API developers need to specify?","In the context of deployment tracks, API developers only need to specify the major and minor versions being delivered from a particular deployment track.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
What is the specified major and minor version information treated as for a deployment track?,The specified major and minor version information is treated as the API version attribute of a deployment track.,docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"How can a publisher accomplish versioning for internal tracking purposes if required, outside of the deployment track's API version attribute?","If the publisher requires versioning for internal tracking purposes, this can be accomplished in Git through the use of Git tags, on GitHub with GitHub releases, and so forth.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"What is an Endpoint defined as in the context of Choreo, and where does it typically reside?","In Choreo, an Endpoint is defined as a network-exposed function. It resides within a component.",docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
Which specific types of components in Choreo are capable of exposing one or more endpoints?,"In Choreo, both service components and integration components are capable of exposing one or more endpoints.",docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
"What is a service contract in relation to an endpoint, and what are examples of such contracts mentioned?",A service contract is a specification associated with an endpoint in a component. This contract is used to expose the endpoint to consumers. Examples of service contracts mentioned include OpenAPI and GraphQL SDL.,docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
What is the primary purpose of associating a service contract with an endpoint in Choreo?,The primary purpose of associating a service contract with an endpoint is to expose that endpoint to consumers.,docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
What default contract does Choreo apply to an endpoint if a specific service contract is not provided?,"In the absence of a specific service contract, Choreo uses `/* exposed on all HTTP verbs` as the default contract to expose the service or the integration.",docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
How does Choreo categorize or treat each individual endpoint exposed within a component for management purposes?,Each endpoint exposed in a component is considered a single API by Choreo.,docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
What specific capability does Choreo offer regarding API management for endpoints within a given component?,Choreo allows users to perform API management on a per-endpoint basis for a given component.,docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
Can you provide examples of API management functionalities that can be performed on a per-endpoint basis in Choreo?,Examples of API management functionalities that can be performed on a per-endpoint basis in Choreo include lifecycle management and configuring security settings.,docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
Where can users find more detailed instructions on how to configure endpoints when developing components in Choreo?,Users can find more detailed instructions on how to configure endpoints when developing components in Choreo by referring to the documentation titled 'Configure Endpoints' (located at `../develop-components/configure-endpoints.md`).,docs\choreo-concepts\endpoint.md/Endpoint Definition and Characteristics
What is the fundamental purpose of environments in Choreo for developers?,"In Choreo, environments are provided to developers as spaces to run their applications within a given data plane.",docs\choreo-concepts\environments.md/# Environments
Which environments are provided by default in the Choreo cloud data plane?,"By default, the Choreo cloud data plane provides two environments: development and production.",docs\choreo-concepts\environments.md/# Environments
How are projects in Choreo associated with environments?,Each project in Choreo is associated with one or more environments that are available within the organization.,docs\choreo-concepts\environments.md/# Environments
Can different projects in Choreo utilize different sets of environments? Provide an example.,"Yes, different projects can utilize different sets of environments. For example, Project A might choose to use development, staging, and production environments, while Project B might only use development and production environments.",docs\choreo-concepts\environments.md/# Environments
What action can be performed on components within a project regarding environments?,Components within a project can be promoted across the available environments.,docs\choreo-concepts\environments.md/# Environments
What happens to a component's configuration values when it is promoted across environments in Choreo?,"When a component is promoted across environments, its configuration values can be overridden with environment-specific values.",docs\choreo-concepts\environments.md/# Environments
Is there a visual aid provided in the documentation to illustrate the component promotion process across environments?,"Yes, the documentation states that a diagram illustrates how a component is promoted across environments.",docs\choreo-concepts\environments.md/# Environments
"What is the definition of an organization in Choreo, and what is its primary function?",An organization in Choreo is defined as a logical grouping of users and user resources. Its primary function is to logically group users and their associated resources.,docs\choreo-concepts\organization.md/# Organization
What is the mandatory action for a first-time user when signing in to Choreo regarding organizations?,A first-time user must create an organization and become a member of it when signing in to Choreo.,docs\choreo-concepts\organization.md/# Organization
"Can users and resources from one Choreo organization access resources in another organization? If so, under what specific conditions?","No, users and resources in one organization cannot access resources in another organization by default. Access is only granted if an administrator of the other organization invites them and adds them as a member of that organization.",docs\choreo-concepts\organization.md/# Organization
Is a user permitted to create more than one organization in Choreo?,"No, a user cannot create more than one organization in Choreo.",docs\choreo-concepts\organization.md/# Organization
Under what circumstances can a user switch between organizations in Choreo?,A user can switch between organizations if they are a member of more than one organization.,docs\choreo-concepts\organization.md/## Switch organizations
What are the steps to switch from one organization to another within the Choreo Console?,"To switch organizations, a user needs to select the required organization from the 'Organization' list located in the Choreo Console header.",docs\choreo-concepts\organization.md/## Switch organizations
How does Choreo manage user permissions within its system?,Choreo manages user permissions through the use of groups and roles.,docs\choreo-concepts\organization.md/## Manage user permission
"What is a group in Choreo, and how do users within a group inherit permissions?","A group in Choreo is a collection of users, with each user having one or more roles assigned to them. Users within a group automatically inherit the permissions associated with the roles assigned to that specific group.",docs\choreo-concepts\organization.md/### Groups
Can you list the predefined groups available in Choreo and describe the primary role associated with each?,"Choreo comes with several predefined groups, each configured with specific roles:
- **API Publisher**: A collection of users who have the API Publisher role.
- **API Subscriber**: A collection of users who have the API Subscriber role.
- **Admin**: A collection of users who have the Admin role.
- **Billing Admin**: A collection of users who have the Billing Admin role.
- **Choreo DevOps**: A collection of users who have the Choreo DevOps role.
- **Developer**: Users who develop, deploy, and manage cloud native applications at scale.
- **External API Subscriber**: A collection of users who have the External API Subscriber role.",docs\choreo-concepts\organization.md/### Groups
"What is an important consideration when creating a new group in Choreo, especially when inviting members?","When creating a new group to invite members, it is important to assign a role to the group. This ensures that the users added to the group will have the necessary required permissions.",docs\choreo-concepts\organization.md/### Groups
What are the responsibilities and permissions associated with the 'Admin' role in Choreo?,"The 'Admin' role in Choreo performs all administrative tasks, which include user management, Developer Portal customization, project management, analytics configuration, and domain management.",docs\choreo-concepts\organization.md/### Roles
Describe the tasks that an 'API Publisher' can perform in Choreo.,"An 'API Publisher' in Choreo can discover, create, publish, delete, test, and manage APIs.",docs\choreo-concepts\organization.md/### Roles
What actions can an 'API Subscriber' undertake in Choreo?,"An 'API Subscriber' in Choreo can subscribe to APIs, manage subscriptions and applications, and generate and manage API keys.",docs\choreo-concepts\organization.md/### Roles
What are the duties of a 'Billing Admin' in Choreo?,"A 'Billing Admin' in Choreo handles billing administration, including viewing tiers, managing organizations and invoices, and managing subscriptions and payment methods.",docs\choreo-concepts\organization.md/### Roles
What is the primary function of the 'Choreo DevOps' role?,"The 'Choreo DevOps' role is responsible for managing the deployment, monitoring, and reliability of components within Choreo.",docs\choreo-concepts\organization.md/### Roles
What responsibilities does the 'Choreo Platform Engineer' role entail?,"The 'Choreo Platform Engineer' role performs tasks related to infrastructure, governance, service mesh, and monitoring.",docs\choreo-concepts\organization.md/### Roles
What is the scope of work for a 'Developer' in Choreo?,"A 'Developer' in Choreo is responsible for developing, deploying, and managing cloud-native applications at scale.",docs\choreo-concepts\organization.md/### Roles
What are the capabilities of an 'External API Subscriber' in Choreo?,An 'External API Subscriber' can consume APIs with Developer Portal access and has the ability to join an organization exclusively for API usage.,docs\choreo-concepts\organization.md/### Roles
"Which Choreo role has been deprecated, and what is the current status regarding its usage for existing organizations?","The 'Environment Manager' role has been deprecated. Additionally, the 'Choreo DevOps' role has been replaced with the 'Choreo Platform Engineer' role. However, organizations that previously had the 'Choreo DevOps' role will continue to see and use both roles with their existing functionality.",docs\choreo-concepts\organization.md/### Roles
What is the purpose of the Organization ID in Choreo?,The Organization ID serves as a unique identifier for each organization in Choreo.,docs\choreo-concepts\organization.md/## Organization ID
What are the step-by-step instructions to retrieve the Organization ID for an organization in Choreo?,"To get the Organization ID, follow these steps:
1. Go to https://console.choreo.dev/ and sign in. This opens the project home page.
2. Click on the 'Organization' list on the header and select your organization.
3. In the left navigation, click 'Settings'.
4. In the header, click the 'Organization' list. This will open the organization level settings page.
5. Under 'Organization', click 'Copy ID'.",docs\choreo-concepts\organization.md/## Organization ID
"What is the Organization Handle in Choreo, and what does it represent?",The Organization Handle in Choreo is a unique string that directly corresponds to your organization's name.,docs\choreo-concepts\organization.md/## Organization Handle
How can a user find the Organization Handle for their organization in the Choreo Console?,"To get the Organization Handle, follow these steps:
1. Go to https://console.choreo.dev/ and sign in. This opens the project home page.
2. Click on the 'Organization' list on the header and select your organization.
3. In the left navigation, click 'Settings'.
4. Under 'Organization', click 'Copy Handle'.",docs\choreo-concepts\organization.md/## Organization Handle
What is the fundamental definition of a project within the Choreo platform?,A project in Choreo is defined as a logical group of related components. Its primary purpose is to typically represent a single cloud-native application.,docs\choreo-concepts\project.md/# Project Definition and Characteristics in Choreo
How many components can a project in Choreo contain?,A project in Choreo consists of one or more components.,docs\choreo-concepts\project.md/# Project Definition and Characteristics in Choreo
"How are components within a Choreo project ideally organized in terms of GitHub repositories, and what is this architecture known as?","Ideally, all components within a project can be located in a single GitHub repository under different paths, although this is not a strict restriction. This organizational approach is known as the monorepo architecture.",docs\choreo-concepts\project.md/# Project Definition and Characteristics in Choreo
Where are all components within a given Choreo project deployed at deployment time?,"At deployment time, all components within a given project are deployed into a single namespace of the Kubernetes cluster.",docs\choreo-concepts\project.md/# Project Definition and Characteristics in Choreo
What are the various exposure options available for components within a Choreo project?,"Components within a project can be exposed in three ways: to the public internet, internally to the rest of the organization, or privately within the project only.",docs\choreo-concepts\project.md/# Project Definition and Characteristics in Choreo
How is a project in Choreo represented in the context of architectural patterns?,"A project in Choreo is represented as a cell with regard to the Cell-based architecture, as described in the WSO2 reference architecture.",docs\choreo-concepts\project.md/# Project Definition and Characteristics in Choreo
What does the provided diagram illustrate concerning a Choreo project?,The provided diagram illustrates a project and how the components within that project are laid out at runtime.,docs\choreo-concepts\project.md/# Project Definition and Characteristics in Choreo
How are data planes related to organizations in Choreo?,"In Choreo, data planes are directly connected to the organization.",docs\choreo-concepts\resource-hierarchy.md/Organizations and data planes
What is the scope of availability for data planes within an organization in Choreo?,Data planes connected to an organization in Choreo are available for all projects within that organization.,docs\choreo-concepts\resource-hierarchy.md/Organizations and data planes
What happens concerning data planes and Kubernetes namespaces when an environment is created in a project in Choreo?,"When an environment is created in a project in Choreo, the data plane connected to the organization is automatically linked with an automatically generated Kubernetes namespace.",docs\choreo-concepts\resource-hierarchy.md/Organizations and data planes
What is the relationship between Kubernetes clusters and environments in Choreo?,Choreo allows multiple Kubernetes clusters to be associated with an environment.,docs\choreo-concepts\resource-hierarchy.md/Environments and data planes
What benefits does associating multiple Kubernetes clusters with an environment provide in Choreo?,Associating multiple Kubernetes clusters with an environment in Choreo enables the building of highly resilient and resource-efficient solutions that utilize multiple clusters.,docs\choreo-concepts\resource-hierarchy.md/Environments and data planes
How does Choreo facilitate multi-cluster deployment within an environment?,"Choreo facilitates multi-cluster deployment by synchronizing applications and workloads between associated clusters in an environment, allowing for deployment with a single click.",docs\choreo-concepts\resource-hierarchy.md/Environments and data planes
"Is it mandatory to use a different Kubernetes cluster for each environment in Choreo, and what flexibility does Choreo offer in this regard?","No, it is not necessary to use a different Kubernetes cluster per environment in Choreo. You can create multiple environments on the same cluster. The provided diagram is an example of a specific solution, and application architecture may require a different configuration.",docs\choreo-concepts\resource-hierarchy.md/Environments and data planes
To which entity do components belong in Choreo?,Components belong to a project in Choreo.,docs\choreo-concepts\resource-hierarchy.md/Components and environments
How are environments provisioned in relation to projects in Choreo?,Environments are provisioned per project in Choreo.,docs\choreo-concepts\resource-hierarchy.md/Components and environments
How are components deployed in Choreo?,"When a component is deployed in Choreo, it is deployed as a container to the specified environment.",docs\choreo-concepts\resource-hierarchy.md/Components and environments
What action can be performed with a component's container image after it has been deployed in Choreo?,"Once a component's container image is deployed, it can be promoted across the environments available in the project.",docs\choreo-concepts\resource-hierarchy.md/Components and environments
