question,answer,source
What are Deployment Tracks in Choreo and what is their primary purpose?,"Deployment Tracks in Choreo are structured pathways designed for simplified software component deployment. They function as advanced CI/CD pipelines, ensuring that components reach their intended destinations seamlessly, regardless of whether they originate from source code or prebuilt images. Their primary purpose is to establish an organized and structured approach that minimizes the chances of errors and challenges typically associated with deployment workflows.",docs\choreo-concepts\deployment-tracks.md/Deployment Tracks
What two critical challenges do Deployment Tracks address to enhance the API consumer experience?,Deployment Tracks offer practical solutions to enhance the API consumer experience by addressing two critical challenges: Streamlined deployment and Efficient API versioning.,docs\choreo-concepts\deployment-tracks.md/The significance of Deployment Tracks
How do Deployment Tracks contribute to 'Streamlined deployment'?,"For 'Streamlined deployment', Deployment Tracks serve as well-designed routes for software components, enhancing the organization and reliability of the deployment process, similar to a well-structured express route.",docs\choreo-concepts\deployment-tracks.md/The significance of Deployment Tracks
"How do Deployment Tracks facilitate 'Efficient API versioning', especially for managed APIs?","For 'Efficient API versioning', especially beneficial for managed APIs, Deployment Tracks provide a straightforward method for creating API versions that seamlessly interact with previous iterations. This simplified version management benefits both API creators and consumers alike.",docs\choreo-concepts\deployment-tracks.md/The significance of Deployment Tracks
What two integral approaches does Choreo leverage for streamlined deployments using Deployment Tracks?,"For streamlined deployments, Choreo dissects two integral approaches that leverage Deployment Tracks: the comprehensive CI/CD integration and the focused CD-Only strategy.",docs\choreo-concepts\deployment-tracks.md/Streamlined deployments
"In the 'CI/CD with Deployment Tracks' approach, how is a deployment track linked, and what is the benefit of this connection?","In the 'CI/CD with Deployment Tracks' approach, a deployment track is linked to a particular branch within a GitHub repository. This connection is useful for handling deployments to various environments.",docs\choreo-concepts\deployment-tracks.md/CI/CD with Deployment Tracks
Where can users visualize deployments to specific environments associated with their selected deployment track in Choreo?,"On Choreo's Deploy page, users can easily visualize the deployments to specific environments associated with their selected deployment track.",docs\choreo-concepts\deployment-tracks.md/CI/CD with Deployment Tracks
"What functionality does the deployment track have regarding automatic deployments in the CI/CD approach, and what action triggers a deployment to the development environment when activated?","The deployment track has a functionality that initiates automatic deployments for the linked branch. When activated, merging a pull request (PR) triggers a deployment to the development environment.",docs\choreo-concepts\deployment-tracks.md/CI/CD with Deployment Tracks
Under what circumstances would a user opt for the 'CD-Only strategy with Deployment Tracks'?,A user would opt for the 'CD-Only strategy with Deployment Tracks' if they are inclined to use their own Continuous Integration (CI) systems and want to harness the deployment track solely as a Continuous Deployment (CD) pipeline.,docs\choreo-concepts\deployment-tracks.md/CD-Only strategy with Deployment Tracks
"How are deployment tracks linked in the 'CD-Only strategy', and what capability does this configuration empower users to have?","In the 'CD-Only strategy', deployment tracks can be seamlessly linked to a container registry repository. This configuration empowers users to effortlessly deploy images sourced directly from the linked container registry repository.",docs\choreo-concepts\deployment-tracks.md/CD-Only strategy with Deployment Tracks
To which specific component type does the 'Efficient API versioning' section apply in Choreo?,The 'Efficient API versioning' section applies only to service components in Choreo.,docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"What versioning mechanism does Choreo follow for APIs, and how does it represent API versions with an example?","Choreo follows a versioning mechanism based on Semantic Versioning (SemVer) but only includes the major version and minor version with the prefix `v`. For example, `v1.2`.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"According to Choreo's approach, when should the major version and minor version of an API be incremented?","According to Choreo's approach: the major version should be incremented when incompatible API changes are made, and the minor version should be incremented when functionality is added in a backward-compatible manner.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
What is Semantic Versioning (SemVer)?,"Semantic Versioning (SemVer) is a specification that defines how to assign and increment version numbers for software products, including APIs. For more information, users can refer to the Semantic Versioning specification.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"What is a primary concern when dealing with SaaS APIs regarding updates, and how are patch updates categorized in compliance with SemVer?","One of the primary concerns when dealing with SaaS APIs is to minimize disruption for API consumers while continuously developing and deploying updates. In compliance with SemVer, changes that don't introduce breaking or additive modifications to the API are categorized as patch updates.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"From the perspective of API consumers, how should patch updates ideally affect their API clients, and what are they typically most concerned with?","From the perspective of API consumers, patch updates should ideally not disrupt their API clients. Typically, API consumers are most concerned with major API version alterations, though there might be instances where minor version changes are communicated to them.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"In the context of deployment tracks, what information do API developers need to specify for API versioning, and what is this information treated as?","In the context of deployment tracks, API developers only need to specify the major and minor versions being delivered from a particular deployment track. This information is treated as the API version attribute of a deployment track.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
"How can publishers achieve versioning for internal tracking purposes if they require it, outside of the API version attribute of a deployment track?","If the publisher requires versioning for internal tracking purposes, this can be accomplished in Git through the use of Git tags, on GitHub with GitHub releases, and so forth.",docs\choreo-concepts\deployment-tracks.md/Efficient API versioning
What is an Endpoint?,An Endpoint is defined as a network-exposed function that resides within a component.,docs\choreo-concepts\endpoint.md/# Endpoint
Which types of components in Choreo expose endpoints?,"In Choreo, service components and integration components are the types that expose one or more endpoints.",docs\choreo-concepts\endpoint.md/# Endpoint
What is the role of a service contract in relation to an endpoint?,"A service contract is associated with an endpoint to expose it to consumers. This contract provides the necessary specification (e.g., OpenAPI, GraphQL SDL) for consumers to interact with the endpoint.",docs\choreo-concepts\endpoint.md/# Endpoint
What are the specific types of service contracts mentioned that can be associated with an endpoint?,The specific types of service contracts that can be associated with an endpoint are OpenAPI and GraphQL SDL.,docs\choreo-concepts\endpoint.md/# Endpoint
What is the default contract Choreo uses to expose a service or integration if no explicit service contract is provided for an endpoint?,"In the absence of an explicit service contract, Choreo uses `/* exposed on all HTTP verbs` as the default contract to expose the service or the integration.",docs\choreo-concepts\endpoint.md/# Endpoint
How does Choreo treat each exposed endpoint in a component concerning API management?,Choreo considers each endpoint exposed in a component as a single API. This allows for API management to be performed on a per-endpoint basis for a given component.,docs\choreo-concepts\endpoint.md/# Endpoint
What specific API management capabilities are available per endpoint in Choreo?,"Choreo allows for API management per endpoint, enabling capabilities such as performing lifecycle management and configuring security settings for each individual endpoint within a given component.",docs\choreo-concepts\endpoint.md/# Endpoint
Where can one find further information on configuring endpoints when developing components in Choreo?,"To learn how to configure endpoints when developing components in Choreo, one can refer to the documentation titled ""[Configure Endpoints](../develop-components/configure-endpoints.md)"".",docs\choreo-concepts\endpoint.md/# Endpoint
What do environments in Choreo offer developers?,Choreo offers developers one or more environments to run their applications within a given data plane.,docs\choreo-concepts\environments.md/Environments
Which environments does the Choreo cloud data plane provide by default?,"By default, the Choreo cloud data plane provides two environments: development and production.",docs\choreo-concepts\environments.md/Environments
How are projects in Choreo associated with environments?,Each project in Choreo is associated with one or more environments available in the organization.,docs\choreo-concepts\environments.md/Environments
Can different projects in Choreo utilize different sets of environments? Provide an example from the text.,"Yes, different projects in Choreo can utilize different sets of environments. For example, project A may choose to utilize dev, staging, and production environments, while project B may only use development and production environments.",docs\choreo-concepts\environments.md/Environments
What action can be performed on components within a project concerning environments?,You can promote components within a project across available environments.,docs\choreo-concepts\environments.md/Environments
What happens to a component's configuration values when it is promoted across environments?,"When a component is promoted across environments, its configuration values can be overridden with environment-specific values.",docs\choreo-concepts\environments.md/Environments
What is the purpose of the diagram mentioned in the documentation?,The diagram illustrates how a component is promoted across environments.,docs\choreo-concepts\environments.md/Environments
"What is an organization in Choreo, and what are the initial requirements for a first-time user regarding organizations?","An organization in Choreo is defined as a logical grouping of users and user resources. For a first-time user, it is mandatory to create an organization and become a member of it when signing in to Choreo.",docs\choreo-concepts\organization.md/# Organization
Can users and resources from one organization access resources in another organization in Choreo?,"No, users and resources in one organization cannot access resources in another organization unless an admin of the other organization explicitly invites them and adds them as a member of that organization.",docs\choreo-concepts\organization.md/# Organization
Is a user allowed to create multiple organizations in Choreo?,"No, a user cannot create more than one organization in Choreo.",docs\choreo-concepts\organization.md/# Organization
"Under what circumstances can a user switch between organizations in Choreo, and how is this action performed?","A user can switch from one organization to another if they are a member of more than one organization. To perform this action, the user needs to select the required organization from the 'Organization' list located in the Choreo Console header.",docs\choreo-concepts\organization.md/## Switch organizations
How does Choreo manage user permissions?,Choreo manages user permissions using a system of groups and roles.,docs\choreo-concepts\organization.md/## Manage user permission
"What is a group in Choreo, and how do users within a group inherit permissions? Provide an example.","A group in Choreo is a collection of users, with each user having one or more roles assigned to them. Users who are part of a group automatically inherit the permissions associated with the roles assigned to that specific group. For example, if a user is added to the `API Publisher` group, they will automatically receive the `API Publisher` role.",docs\choreo-concepts\organization.md/### Groups
List the predefined groups available in Choreo and their corresponding roles.,"Choreo comes with several predefined groups, each configured with specific roles:
- **API Publisher**: A collection of users who have the API Publisher role.
- **API Subscriber**: A collection of users who have the API Subscriber role.
- **Admin**: A collection of users who have the Admin role.
- **Billing Admin**: A collection of users who have the Billing Admin role.
- **Choreo DevOps**: A collection of users who have the Choreo DevOps role.
- **Developer**: Users who develop, deploy, and manage cloud native applications at scale.
- **External API Subscriber**: A collection of users who have the External API Subscriber role.",docs\choreo-concepts\organization.md/### Groups
What is an important consideration when creating a new group for inviting members in Choreo?,"When creating a new group to invite members, it is important to assign a role to the group. This ensures that users added to the group will have the necessary permissions.",docs\choreo-concepts\organization.md/### Groups
Describe the responsibilities and permissions of the 'Admin' role in Choreo.,"The 'Admin' role in Choreo performs all administrative tasks. This includes user management, Developer Portal customization, project management, analytics configuration, and domain management.",docs\choreo-concepts\organization.md/### Roles
What are the key responsibilities of the 'API Publisher' role in Choreo?,"The 'API Publisher' role in Choreo is responsible for discovering, creating, publishing, deleting, testing, and managing APIs.",docs\choreo-concepts\organization.md/### Roles
What tasks can an 'API Subscriber' perform in Choreo?,"An 'API Subscriber' in Choreo can subscribe to APIs, manage subscriptions and applications, and generate and manage API keys.",docs\choreo-concepts\organization.md/### Roles
What are the duties of the 'Billing Admin' role in Choreo?,"The 'Billing Admin' role in Choreo handles billing administration. This includes viewing tiers, managing organizations and invoices, and managing subscriptions and payment methods.",docs\choreo-concepts\organization.md/### Roles
What is the primary function of the 'Choreo DevOps' role?,"The 'Choreo DevOps' role is responsible for managing the deployment, monitoring, and reliability of components within Choreo.",docs\choreo-concepts\organization.md/### Roles
What are the responsibilities of the 'Choreo Platform Engineer' role?,"The 'Choreo Platform Engineer' role performs infrastructure, governance, service mesh, and monitoring tasks.",docs\choreo-concepts\organization.md/### Roles
What is the scope of work for a 'Developer' in Choreo?,"A 'Developer' in Choreo develops, deploys, and manages cloud-native applications at scale.",docs\choreo-concepts\organization.md/### Roles
What are the capabilities of an 'External API Subscriber'?,An 'External API Subscriber' can consume APIs with Developer Portal access and has the ability to join an organization exclusively for API usage.,docs\choreo-concepts\organization.md/### Roles
"Which role in Choreo is deprecated, and what was its previous function?",The 'Environment Manager' role is deprecated. It was previously responsible for managing deployment environments.,docs\choreo-concepts\organization.md/### Roles
What is the current status and relationship between the 'Choreo DevOps' and 'Choreo Platform Engineer' roles?,"The 'Choreo DevOps' role has been replaced by the 'Choreo Platform Engineer' role. However, organizations that previously had the 'Choreo DevOps' role will continue to see and use both roles with their existing functionality.",docs\choreo-concepts\organization.md/### Roles
"What is the purpose of the Organization ID in Choreo, and what are the steps to obtain it?","The Organization ID serves as a unique identifier for each organization. To obtain the Organization ID, follow these steps:
1. Go to `https://console.choreo.dev/` and sign in. This will open the project home page.
2. Click on the 'Organization' list in the header and select your organization.
3. In the left navigation, click 'Settings'.
4. In the header, click the 'Organization' list. This action will open the organization level settings page.
5. Under 'Organization', click 'Copy ID'.",docs\choreo-concepts\organization.md/## Organization ID
"What is the Organization Handle in Choreo, and what are the steps to retrieve it?","The organization handle is a unique string that directly corresponds to your organization's name. To retrieve the organization handle, follow these steps:
1. Go to `https://console.choreo.dev/` and sign in. This will open the project home page.
2. Click on the 'Organization' list in the header and select your organization.
3. In the left navigation, click 'Settings'.
4. Under 'Organization', click 'Copy Handle'.",docs\choreo-concepts\organization.md/## Organization Handle
What is the fundamental definition of a project in Choreo?,A project in Choreo is defined as a logical group of related components that typically represent a single cloud native application.,docs\choreo-concepts\project.md/# Project
What is the typical composition of a project in Choreo?,A project in Choreo consists of one or more components.,docs\choreo-concepts\project.md/# Project
"How are components within a Choreo project ideally organized in relation to GitHub repositories, and what is this architectural pattern known as?","Ideally, all components within a project can be (though not strictly restricted to) located in a single GitHub repository under different paths. This architectural pattern is known as the monorepo architecture.",docs\choreo-concepts\project.md/# Project
Describe the deployment behavior of components within a Choreo project concerning Kubernetes clusters.,"At deployment time, all components within a given project are deployed into a single namespace of the Kubernetes cluster.",docs\choreo-concepts\project.md/# Project
What are the various options for exposing components within a Choreo project?,"Components within a project can be exposed in three ways: to the public internet, internally to the rest of the organization, or privately within the project only.",docs\choreo-concepts\project.md/# Project
"How is a project in Choreo represented in the context of architectural patterns, specifically referencing a known architecture?",A project in Choreo is represented as a cell with regard to the Cell-based architecture. The documentation provides a link to the WSO2 reference architecture for more details on this concept.,docs\choreo-concepts\project.md/# Project
What does the provided diagram illustrate concerning a project in Choreo?,The provided diagram illustrates a project and specifically shows how the components within that project are laid out at runtime.,docs\choreo-concepts\project.md/# Project
What is the relationship between data planes and organizations in Choreo?,Data planes are connected to the organization.,docs\choreo-concepts\resource-hierarchy.md/## Organizations and data planes
For which projects are data planes available within an organization in Choreo?,Data planes are available for all projects within the organization.,docs\choreo-concepts\resource-hierarchy.md/## Organizations and data planes
What happens when an environment is created in a project concerning data planes and Kubernetes namespaces?,"When you create an environment in a project, the data plane connected to the organization is linked with an automatically generated Kubernetes namespace.",docs\choreo-concepts\resource-hierarchy.md/## Organizations and data planes
How many Kubernetes clusters can be associated with an environment in Choreo?,Choreo allows multiple Kubernetes clusters to be associated with an environment.,docs\choreo-concepts\resource-hierarchy.md/## Environments and data planes
What are the benefits of associating multiple Kubernetes clusters with an environment in Choreo?,Associating multiple Kubernetes clusters with an environment enables you to build highly resilient and resource-efficient solutions that utilize multiple clusters.,docs\choreo-concepts\resource-hierarchy.md/## Environments and data planes
How does Choreo facilitate multi-cluster deployment within an environment?,"Choreo synchronizes your applications and workloads between associated clusters in an environment, allowing you to perform multi-cluster deployment with a single click.",docs\choreo-concepts\resource-hierarchy.md/## Environments and data planes
Is it mandatory to use a different Kubernetes cluster for each environment in Choreo?,"No, it is not necessary to use a different cluster per environment.",docs\choreo-concepts\resource-hierarchy.md/## Environments and data planes
Can multiple environments be created on the same Kubernetes cluster in Choreo?,"Yes, you can create multiple environments on the same cluster.",docs\choreo-concepts\resource-hierarchy.md/## Environments and data planes
"What does the diagram 'Environments and dataplanes' illustrate, and what is its nature?","The diagram 'Environments and dataplanes' illustrates how multiple clusters associate with different environments. It is presented as an example of a specific solution, implying that actual application architectures may require different configurations.",docs\choreo-concepts\resource-hierarchy.md/## Environments and data planes
To what do components belong in Choreo?,Components belong to a project in Choreo.,docs\choreo-concepts\resource-hierarchy.md/## Components and environments
How are environments provisioned in relation to projects in Choreo?,Environments are provisioned per project.,docs\choreo-concepts\resource-hierarchy.md/## Components and environments
How is a component deployed when it is deployed in Choreo?,"When a component is deployed, it is deployed as a container to the specified environment.",docs\choreo-concepts\resource-hierarchy.md/## Components and environments
What action can be performed with a container image once it has been deployed to an environment in Choreo?,"Once deployed, you can promote the container image across the environments available in the project.",docs\choreo-concepts\resource-hierarchy.md/## Components and environments
